index,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
28,Albania,ALB,1990.0,0.193413,0.695013,0.130782,3.327587,0.497616,2.139903,1.709465
29,Albania,ALB,1991.0,0.193393,0.695294,0.129102,3.330348,0.495687,2.141201,1.708135
30,Albania,ALB,1992.0,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053
31,Albania,ALB,1993.0,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585
32,Albania,ALB,1994.0,0.193491,0.696255,0.125402,3.340089,0.49263,2.15007,1.701142
33,Albania,ALB,1995.0,0.193559,0.696593,0.12532,3.343588,0.492058,2.154413,1.69912
34,Albania,ALB,1996.0,0.193675,0.696925,0.126148,3.346907,0.491589,2.16132,1.693187
35,Albania,ALB,1997.0,0.193865,0.697281,0.127301,3.350161,0.491548,2.170218,1.68162
36,Albania,ALB,1998.0,0.194094,0.6976,0.128839,3.353242,0.49229,2.17953,1.668865
37,Albania,ALB,1999.0,0.194328,0.697972,0.130729,3.35638,0.492855,2.188802,1.658553
38,Albania,ALB,2000.0,0.194541,0.698437,0.132704,3.360267,0.492401,2.195285,1.654338
39,Albania,ALB,2001.0,0.194812,0.698912,0.134932,3.364824,0.492592,2.201979,1.65904
40,Albania,ALB,2002.0,0.195214,0.699501,0.137541,3.37078,0.493751,2.208921,1.670158
41,Albania,ALB,2003.0,0.195677,0.700114,0.140335,3.376952,0.494039,2.216283,1.685102
42,Albania,ALB,2004.0,0.196139,0.700683,0.143047,3.382199,0.495812,2.222116,1.701433
43,Albania,ALB,2005.0,0.196538,0.701136,0.145738,3.385416,0.497503,2.223407,1.716585
44,Albania,ALB,2006.0,0.197004,0.701533,0.148561,3.38721,0.497997,2.222417,1.737167
45,Albania,ALB,2007.0,0.197636,0.701983,0.1517,3.388914,0.497442,2.217203,1.766903
46,Albania,ALB,2008.0,0.198306,0.7024,0.154945,3.390168,0.497332,2.210642,1.79855
47,Albania,ALB,2009.0,0.198905,0.702783,0.157738,3.391018,0.498324,2.206033,1.824955
48,Albania,ALB,2010.0,0.199308,0.703064,0.160337,3.391246,0.50027,2.203342,1.838566
49,Albania,ALB,2011.0,0.199588,0.703313,0.16242,3.391181,0.502703,2.202291,1.843256
50,Albania,ALB,2012.0,0.199863,0.703539,0.165446,3.390807,0.505621,2.202192,1.847375
