Country Name,Year,Unemployment Rate,GDP (in USD)
Albania,1991,10.304,1099559027.77778
Lesotho,1991,15.59,704325366.718393
Morocco,1991,13.538,32285573573.9185
Myanmar,1991,0.832,2069832686.98061
Poland,1991,13.611,85500935934.9901
Uganda,1991,3.464,3321729159.62277
United States,1991,6.8,6158129000000.0
Albania,1992,30.007,652174990.837304
Lesotho,1992,15.543,831029861.704746
Morocco,1992,13.8,33711069430.78
Myanmar,1992,0.8,2411552288.76212
Poland,1992,13.645,94337050693.2727
Uganda,1992,3.556,2857457761.90922
United States,1992,7.5,6520327000000.0
Albania,1993,25.251,1185315468.46295
Lesotho,1993,15.658,835582062.476169
Morocco,1993,14.029,31655473663.8348
Myanmar,1993,0.784,3163020034.63637
Poland,1993,14.393,96043157272.862
Uganda,1993,3.497,3220439044.18949
United States,1993,6.9,6858559000000.0
Albania,1994,20.835,1880950864.41311
Lesotho,1994,15.706,878250945.280469
Morocco,1994,13.869,35604137422.5796
Myanmar,1994,0.745,4432257173.6492
Poland,1994,14.825,110803635287.621
Uganda,1994,3.471,3990430446.71216
United States,1994,6.119,7287236000000.0
Albania,1995,14.607,2905092798.61916
Lesotho,1995,15.875,1001894000.27846
Morocco,1995,14.052,39030285468.3841
Myanmar,1995,0.759,5289174942.53404
Poland,1995,13.695,142838527115.448
Uganda,1995,3.235,5755818842.49246
United States,1995,5.65,7639749000000.0
Albania,1996,13.928,3234486232.04392
Lesotho,1996,15.788,946112492.844847
Morocco,1996,13.398,43161571527.6353
Myanmar,1996,0.758,6123556716.81329
Poland,1996,12.684,160813026223.063
Uganda,1996,3.213,6044585326.938
United States,1996,5.451,8073122000000.0
Albania,1997,16.872,2293666029.99318
Lesotho,1997,15.896,998004258.715675
Morocco,1997,14.023,39147844526.0838
Myanmar,1997,0.769,4722288495.66085
Poland,1997,10.964,159893964916.817
Uganda,1997,3.247,6269333313.17108
United States,1997,5.0,8577552000000.0
Albania,1998,20.042,2600356999.20614
Lesotho,1998,15.983,928460893.108965
