index,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),hdi,Unemployment Rate,GDP (in USD)
29,Albania,ALB,1991,0.193393,0.695294,0.129102,3.330348,0.495687,2.141201,1.708135,0.629,10.304,1099559027.77778
30,Albania,ALB,1992,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,0.614,30.007,652174990.837304
31,Albania,ALB,1993,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,0.617,25.251,1185315468.46295
32,Albania,ALB,1994,0.193491,0.696255,0.125402,3.340089,0.49263,2.15007,1.701142,0.624,20.835,1880950864.41311
33,Albania,ALB,1995,0.193559,0.696593,0.12532,3.343588,0.492058,2.154413,1.69912,0.634,14.607,2905092798.61916
34,Albania,ALB,1996,0.193675,0.696925,0.126148,3.346907,0.491589,2.16132,1.693187,0.645,13.928,3234486232.04392
35,Albania,ALB,1997,0.193865,0.697281,0.127301,3.350161,0.491548,2.170218,1.68162,0.642,16.872,2293666029.99318
36,Albania,ALB,1998,0.194094,0.6976,0.128839,3.353242,0.49229,2.17953,1.668865,0.657,20.042,2600356999.20614
37,Albania,ALB,1999,0.194328,0.697972,0.130729,3.35638,0.492855,2.188802,1.658553,0.669,20.835,3283941510.49964
38,Albania,ALB,2000,0.194541,0.698437,0.132704,3.360267,0.492401,2.195285,1.654338,0.677,19.023,3584570164.85195
39,Albania,ALB,2001,0.194812,0.698912,0.134932,3.364824,0.492592,2.201979,1.65904,0.684,18.57,4059064033.13379
40,Albania,ALB,2002,0.195214,0.699501,0.137541,3.37078,0.493751,2.208921,1.670158,0.689,17.891,4515003116.68036
41,Albania,ALB,2003,0.195677,0.700114,0.140335,3.376952,0.494039,2.216283,1.685102,0.696,16.985,5801712040.48463
42,Albania,ALB,2004,0.196139,0.700683,0.143047,3.382199,0.495812,2.222116,1.701433,0.7,16.306,7406645793.44038
43,Albania,ALB,2005,0.196538,0.701136,0.145738,3.385416,0.497503,2.223407,1.716585,0.711,15.966,8256658249.8128
44,Albania,ALB,2006,0.197004,0.701533,0.148561,3.38721,0.497997,2.222417,1.737167,0.718,15.626,9150528132.17633
45,Albania,ALB,2007,0.197636,0.701983,0.1517,3.388914,0.497442,2.217203,1.766903,0.73,15.966,11116937869.8568
46,Albania,ALB,2008,0.198306,0.7024,0.154945,3.390168,0.497332,2.210642,1.79855,0.736,13.06,13258506375.4518
47,Albania,ALB,2009,0.198905,0.702783,0.157738,3.391018,0.498324,2.206033,1.824955,0.741,13.674,12335540656.1006
48,Albania,ALB,2010,0.199308,0.703064,0.160337,3.391246,0.50027,2.203342,1.838566,0.754,14.086,12086545641.299
